PUBCHEM_CID,Activity_outcome,Canonical_SMILES
4319230,1,CN(C1CCCCC1)C2=NC=NC(=C2[N+](=O)[O-])N
6540216,0,CC1=CC2=C(C(=C1C3=CC=C(C=C3)NC(=O)C)C)C(=CC(=O)O2)C4=CC=CC=C4
135521528,0,CC1=C(C(=CC=C1)NC(=O)CSC2=NC3=C(C=NN3)C(=O)N2)C
16192614,1,CCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br
11958727,1,CCN1C2=CC=CC=C2SC1=CC3=[N+](C4=C(C=CC=C4C=C3)C)CC.[I-]
1468086,0,CCC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCN(CC4)C(=S)NCC
9646000,0,C1=CC2=C(C=CN=C2C=C1Cl)NN=CC3=CC=C(O3)[N+](=O)[O-]
16682556,1,CCN(CC)CC[N+]1=C(C=C(C=C1C)C2=CC=C(C=C2)OCC)C3=CC=C(C=C3)OCC.[O-]Cl(=O)(=O)=O
404472,1,COC1=CC=C(C=C1)CC2C(OC3(O2)C=CC(=O)C=C3)CC4=CC=C(C=C4)OC
22829045,1,COC1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O
53301276,1,CCOC(=O)C12CC3=C(C1N(C(=O)C4=C2C=CC(=C4)OC)C5CCCCC5)C=CC(=C3)C
16196252,1,CC(C)(C)C1=CC=C(C=C1)C2=CN(C3=[N+]2CCCS3)C4=CC=C(C=C4)Br.[Br-]
16193337,1,CC1=CC(=C(C=C1)OC)NC(=O)C2=C(N(N=N2)CC3=CC(=CC=C3)C(F)(F)F)N
3238394,0,C1CCC2(C1)OC(=CC(=O)O2)C3=CC=CC=C3
851992,0,CN1C2=CC=CC=C2N=C1CN3CCN(CC3)C4=CC(=CC=C4)Cl
15945706,1,CCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.I
1091676,0,CC1=C(C=C(C=C1)C2=NN3C(=NN=C3S2)C)NC(=O)C4=CC=CS4
9616928,0,CC1=NC2=CC=CC=C2N1N=CC3=CC=C(S3)[N+](=O)[O-]
6497642,0,CC1=C(C=C(C=C1)N2CC(CC2=O)C(=O)NC3=NC4=C(S3)C=C(C=C4)S(=O)(=O)C)C
53299763,0,CC1=CC2=NC(=C(N2C(=C1Br)C)CC3=CSC=C3)C4CCCCC4
661482,0,COC1=CC=CC(=C1O)C2=NC3=CC=CC=C3C(=N2)NCC4CCCO4
5346844,0,CC1=NO[N+](=C1COC2=CC=C(C=C2)C=C3C(=O)NC(=S)N3)[O-]
927567,0,C1CN(C2=C1C=C(C=C2)C=O)CC3=CC=CC=C3
5072070,1,COC(=O)C1=CN(C(=O)C2=CC=CC=C21)NC(=O)C3=C(C=CC(=C3)[N+](=O)[O-])F
36462,0,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
1771880,0,C1CC2=C(C1)C(=O)OC3=C2C=CC(=C3)OCC(=O)N4CCC(CC4)C(=O)N
24981228,0,CCOC1=CC=C(C=C1)NC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3
5307366,0,C1CN(CCN1C2=NC3=C(C=C(C=C3)C(=O)C4=CC=CC=C4)N5C2=NN=C5)C(=O)C6=CC=CO6
1080609,1,CC1=C(C(=C(C=C1)S(=O)(=O)NCC2=CC=NC=C2)C)C
4389752,0,COC1=CC=C(C=C1)CCNC(=O)COC(=O)C23CC4CC(C2)CC(C4)(C3)Br
6603320,1,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl
3423840,0,CNC1=C(N=CC=C1)C=NNC(=S)N
2948274,0,C1CC(OC1)CNC(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-]
6603246,1,CCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.I
327536,1,CC(=O)OC1CCC2(C(C1(C)C)CC(C3=CC(CCC2=O)C(=C)C3=O)O)C
831366,0,C1CC(=NC2=C(C=C(C=C2)Br)C#N)N(C1)C3=CC=CC=C3
2475269,0,COC1=CC=C(C=C1)NC(=O)CSC2=NC=NC3=C2C=NN3
24761158,1,CC1=CC2=C(C=C1)NC(=C2C=CC3=CC=[N+](C=C3)C)C.[I-]
4263090,0,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C=C3
400634,0,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=C(I)I
771515,0,CCN1C2=C3C(=C(C=C2)N)C=CC=C3C1=O
651883,1,CCNC1=NC(=NC(=N1)SC(C(=O)C)C(=O)C)NC(C)(C)C
44602021,0,C=CS(=O)(=O)N(CC1=CC(=C(C=C1)Cl)Cl)CC(CO)O
25161481,1,CN(CCOC1=CC=C(C=C1)Cl)C(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCN(CC3)C4=CC=C(C=C4)F
45479889,1,CC1=C[N+]2=C(C=C1)C(=C3C=CC4=CC=CC=C4C3=C2)C.OCl(=O)(=O)=O
2833933,0,CC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCCCC4
973047,0,CC1=C(SC(=N1)C)C2=CSC(=N2)NC3=CN=CC=C3
727593,1,C1CC2=C(C1)SC3=NC=NC(=C23)NCCC4=CC=CS4
25162391,0,C1C=CCC2C1C(=O)N(C2=O)CCC(=O)OCC(=O)NCCC3=CC=C(C=C3)F
2743488,0,C1CCN(C1)C(=O)C2=CC(=C(C=C2)OC3=CC=C(C=C3)Cl)[N+](=O)[O-]
91467,1,CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)O
4459862,0,CC(=O)N1CCC2=C(C1)SC(=C2C(=O)OC)NC(=O)C3=CC=CO3
5470076,1,CN(C)CC1CCCC(=CC2=CC=C(C=C2)OC(=O)C3=CC=C(C=C3)Cl)C1=O.Cl
2409986,1,CC1=CC(=C(N1CC2=CC=CS2)C)C(=O)COC(=O)C3=CC=CC=C3O
56603505,1,CCN1C2=CC=CC=C2C(C1=CC=CC3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O
990988,0,COC1=CC(=CC(=C1OC)OC)C(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC=N3
5109487,0,C1CC(=O)N=C2N(C1)N=C(S2)SCC(=O)NC3=CC=C(C=C3)Br
1287749,0,COC1=CC=CC(=C1)C(=O)COC2=CC=CC(=C2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-]
6872805,0,CC1=CC(=C(N1C2=CC(=C(C=C2)Cl)Cl)C)C=NNC(=S)N
